"strategy","wins","draws","losses","score","points"
"11, 5, 21, 4, 15, 21, 3, 13, 7",15887,1332,13876,16553,1
"18, 3, 18, 3, 18, 17, 3, 18, 2",16061,984,14050,16553,1
"4, 22, 18, 4, 22, 18, 4, 4, 4",16254,593,14248,16550.5,1
"5, 13, 15, 2, 11, 10, 13, 13, 18",15760,1580,13755,16550,1
"15, 5, 15, 5, 15, 5, 15, 5, 20",15816,1467,13812,16549.5,1
"2, 2, 2, 18, 18, 18, 18, 20, 2",15835,1427,13833,16548.5,1
"1, 12, 1, 21, 21, 21, 21, 1, 1",15652,1793,13650,16548.5,1
"4, 15, 13, 20, 15, 2, 8, 6, 17",15985,1120,13990,16545,1
"18, 2, 18, 3, 18, 2, 18, 18, 3",16051,982,14062,16542,1
"21, 1, 21, 1, 21, 1, 21, 1, 12",15723,1637,13735,16541.5,1
"7, 13, 7, 13, 7, 3, 13, 16, 21",16146,790,14159,16541,1
"15, 17, 17, 4, 4, 4, 12, 10, 17",15991,1099,14005,16540.5,1
"2, 2, 2, 23, 21, 20, 20, 5, 5",15764,1549,13782,16538.5,1
"2, 2, 17, 18, 17, 18, 7, 17, 2",15968,1139,13988,16537.5,1
"14, 13, 10, 6, 17, 1, 12, 15, 12",15792,1489,13814,16536.5,1
"1, 12, 1, 21, 21, 1, 21, 21, 1",15668,1736,13691,16536,1
"21, 3, 4, 3, 21, 21, 3, 21, 3",16060,952,14083,16536,1
"0, 13, 20, 1, 20, 20, 13, 13, 0",15540,1991,13564,16535.5,1
"21, 21, 3, 3, 4, 21, 3, 21, 3",16057,957,14081,16535.5,1
"21, 12, 21, 1, 21, 1, 21, 1, 1",15716,1638,13741,16535,1
"1, 1, 1, 1, 21, 21, 21, 21, 12",15691,1685,13719,16533.5,1
"15, 6, 6, 15, 6, 15, 6, 16, 15",16065,937,14093,16533.5,1
"0, 12, 24, 12, 15, 12, 12, 1, 12",15540,1986,13569,16533,1
"3, 2, 1, 3, 18, 18, 19, 18, 18",16008,1047,14040,16531.5,1
"17, 16, 0, 0, 17, 17, 17, 0, 16",15964,1135,13996,16531.5,1
"1, 21, 1, 21, 1, 21, 1, 21, 12",15686,1690,13719,16531,1
"21, 21, 21, 21, 4, 4, 4, 2, 2",15997,1068,14030,16531,1
"6, 8, 15, 15, 3, 8, 15, 15, 15",15986,1088,14021,16530,1
"2, 2, 16, 23, 15, 15, 2, 23, 2",15824,1411,13860,16529.5,1
"3, 5, 16, 6, 5, 16, 21, 6, 22",16132,794,14169,16529,1
"2, 22, 22, 22, 3, 2, 3, 22, 2",16012,1032,14051,16528,1
"0, 15, 15, 20, 0, 20, 15, 15, 0",15569,1917,13609,16527.5,1
"18, 2, 18, 2, 20, 18, 18, 2, 2",15785,1483,13827,16526.5,1
"2, 2, 19, 18, 18, 18, 19, 2, 2",15864,1325,13906,16526.5,1
"2, 21, 2, 21, 6, 22, 2, 21, 3",15945,1160,13990,16525,1
"5, 15, 15, 15, 0, 10, 15, 5, 20",15636,1778,13681,16525,1
"12, 21, 1, 21, 21, 1, 1, 1, 21",15718,1613,13764,16524.5,1
"21, 21, 21, 21, 0, 1, 1, 1, 13",15764,1519,13812,16523.5,1
"15, 21, 20, 1, 1, 1, 20, 1, 20",15516,2015,13564,16523.5,1
"19, 18, 18, 18, 3, 18, 2, 2, 2",15986,1072,14037,16522,1
"2, 2, 2, 21, 20, 20, 20, 2, 11",15350,2343,13402,16521.5,1
"2, 18, 18, 18, 18, 20, 2, 2, 2",15813,1415,13867,16520.5,1
"21, 21, 4, 21, 3, 3, 3, 3, 21",16041,959,14095,16520.5,1
"1, 1, 21, 21, 21, 21, 1, 12, 1",15595,1849,13651,16519.5,0
"19, 18, 18, 18, 2, 2, 19, 2, 2",15955,1124,14016,16517,0
"13, 15, 12, 12, 13, 8, 11, 11, 5",15471,2088,13536,16515,0
"11, 20, 20, 20, 21, 2, 2, 2, 2",15439,2151,13505,16514.5,0
"1, 21, 4, 21, 21, 21, 4, 4, 3",15948,1133,14014,16514.5,0
"21, 14, 3, 1, 2, 23, 14, 21, 1",15934,1161,14000,16514.5,0
"8, 13, 0, 12, 16, 17, 0, 15, 19",15905,1216,13974,16513,0
"2, 2, 18, 19, 18, 19, 18, 2, 2",15835,1356,13904,16513,0
"2, 2, 18, 19, 18, 19, 18, 2, 2",15835,1356,13904,16513,0
"2, 2, 18, 18, 18, 19, 19, 2, 2",15850,1325,13920,16512.5,0
"22, 3, 3, 3, 21, 3, 21, 3, 21",16073,879,14143,16512.5,0
"4, 20, 4, 20, 4, 20, 4, 20, 4",15838,1346,13911,16511,0
"6, 11, 6, 11, 12, 12, 12, 17, 13",15369,2284,13442,16511,0
"4, 20, 4, 20, 4, 20, 4, 20, 4",15838,1346,13911,16511,0
"2, 18, 2, 2, 18, 18, 18, 2, 20",15849,1323,13923,16510.5,0
"17, 16, 17, 0, 16, 0, 17, 0, 17",15926,1167,14002,16509.5,0
"18, 21, 16, 21, 1, 5, 1, 16, 1",15816,1384,13895,16508,0
"2, 22, 3, 22, 2, 22, 2, 22, 3",16015,986,14094,16508,0
"18, 2, 2, 21, 2, 2, 17, 24, 12",15869,1277,13949,16507.5,0
"5, 5, 15, 5, 15, 10, 15, 15, 15",15768,1477,13850,16506.5,0
"1, 21, 1, 21, 1, 12, 21, 1, 21",15660,1692,13743,16506,0
"10, 13, 12, 13, 12, 2, 19, 18, 1",15638,1732,13725,16504,0
"9, 14, 13, 14, 2, 15, 13, 9, 11",15823,1362,13910,16504,0
"18, 1, 18, 2, 21, 2, 18, 2, 18",15933,1141,14021,16503.5,0
"18, 18, 18, 18, 21, 1, 2, 2, 2",15885,1236,13974,16503,0
"15, 14, 10, 14, 13, 11, 3, 16, 4",15685,1636,13774,16503,0
"2, 2, 20, 20, 18, 18, 2, 17, 1",15642,1722,13731,16503,0
"1, 10, 16, 16, 16, 14, 14, 2, 11",15582,1838,13675,16501,0
"0, 16, 17, 0, 17, 17, 0, 17, 16",15907,1187,14001,16500.5,0
"16, 17, 17, 15, 17, 1, 0, 0, 17",15889,1223,13983,16500.5,0
"1, 18, 18, 18, 21, 2, 2, 2, 18",15875,1246,13974,16498,0
"20, 20, 20, 17, 15, 2, 2, 2, 2",15611,1773,13711,16497.5,0
"18, 3, 18, 2, 18, 2, 18, 3, 18",16026,942,14127,16497,0
"5, 10, 5, 15, 15, 15, 5, 15, 15",15757,1480,13858,16497,0
"2, 20, 2, 18, 18, 18, 2, 18, 2",15795,1404,13896,16497,0
"1, 2, 12, 2, 15, 21, 11, 20, 16",15466,2059,13570,16495.5,0
"2, 21, 2, 21, 2, 2, 21, 8, 21",15890,1209,13996,16494.5,0
"18, 2, 17, 3, 19, 3, 17, 3, 18",16006,970,14119,16491,0
"2, 18, 2, 2, 18, 2, 18, 20, 18",15873,1233,13989,16489.5,0
"2, 2, 18, 19, 18, 3, 2, 18, 18",15898,1181,14016,16488.5,0
"8, 3, 0, 3, 17, 17, 18, 17, 17",16067,842,14186,16488,0
"3, 20, 5, 20, 3, 20, 4, 20, 5",15741,1491,13863,16486.5,0
"2, 21, 2, 11, 2, 20, 20, 20, 2",15355,2263,13477,16486.5,0
"25, 14, 3, 13, 16, 0, 15, 12, 2",15826,1319,13950,16485.5,0
"2, 15, 15, 10, 2, 19, 2, 16, 19",15704,1561,13830,16484.5,0
"8, 2, 2, 2, 21, 21, 21, 2, 21",15926,1114,14055,16483,0
"18, 2, 18, 2, 20, 2, 18, 2, 18",15794,1378,13923,16483,0
"18, 2, 18, 2, 20, 2, 18, 2, 18",15794,1378,13923,16483,0
"18, 18, 18, 18, 18, 2, 3, 2, 3",16004,955,14136,16481.5,0
"14, 6, 17, 6, 14, 6, 17, 6, 14",16215,533,14347,16481.5,0
"21, 1, 1, 1, 21, 21, 21, 12, 1",15664,1628,13803,16478,0
"12, 3, 19, 3, 19, 19, 2, 3, 20",15804,1348,13943,16478,0
"2, 0, 20, 20, 20, 2, 2, 14, 20",15416,2122,13557,16477,0
"2, 4, 15, 9, 3, 12, 20, 15, 20",15651,1649,13795,16475.5,0
"6, 6, 12, 16, 2, 16, 6, 24, 12",15949,1051,14095,16474.5,0
"15, 15, 15, 15, 15, 20, 5, 0, 0",15613,1721,13761,16473.5,0
"10, 6, 15, 14, 7, 14, 15, 6, 13",15950,1047,14098,16473.5,0
"2, 2, 10, 11, 15, 15, 15, 15, 15",15411,2123,13561,16472.5,0
"2, 2, 22, 2, 22, 2, 22, 4, 22",16008,929,14158,16472.5,0
"18, 2, 3, 18, 18, 18, 18, 3, 2",15934,1077,14084,16472.5,0
"15, 15, 15, 15, 10, 0, 15, 15, 0",15621,1701,13773,16471.5,0
"3, 22, 3, 22, 3, 22, 3, 21, 1",15981,979,14135,16470.5,0
"12, 10, 12, 15, 8, 15, 15, 12, 1",15531,1878,13686,16470,0
"1, 21, 1, 21, 1, 21, 12, 21, 1",15594,1748,13753,16468,0
"1, 1, 21, 21, 21, 21, 12, 1, 1",15522,1890,13683,16467,0
"1, 1, 21, 21, 21, 21, 12, 1, 1",15522,1890,13683,16467,0
"1, 1, 21, 21, 21, 21, 12, 1, 1",15522,1890,13683,16467,0
"1, 1, 21, 21, 21, 21, 12, 1, 1",15522,1890,13683,16467,0
"15, 17, 15, 3, 15, 15, 6, 7, 7",15992,948,14155,16466,0
"15, 8, 12, 1, 1, 23, 22, 15, 3",15872,1183,14040,16463.5,0
"17, 2, 18, 3, 18, 2, 18, 3, 19",15969,989,14137,16463.5,0
"0, 18, 12, 1, 21, 17, 12, 1, 18",15685,1554,13856,16462,0
"1, 20, 20, 20, 1, 1, 20, 1, 16",15372,2176,13547,16460,0
"21, 21, 21, 1, 21, 1, 1, 12, 1",15630,1659,13806,16459.5,0
"7, 11, 12, 12, 12, 11, 12, 11, 12",14934,3051,13110,16459.5,0
"14, 1, 20, 1, 20, 2, 20, 1, 21",15490,1937,13668,16458.5,0
"18, 2, 18, 18, 18, 3, 3, 18, 2",15917,1080,14098,16457,0
"18, 3, 18, 3, 18, 2, 18, 2, 18",15986,941,14168,16456.5,0
"1, 1, 21, 21, 21, 1, 12, 21, 1",15538,1833,13724,16454.5,0
"2, 20, 2, 20, 12, 20, 2, 20, 2",15339,2230,13526,16454,0
"1, 21, 1, 21, 0, 21, 13, 21, 1",15618,1670,13807,16453,0
"2, 20, 20, 2, 12, 2, 2, 20, 20",15383,2135,13577,16450.5,0
"18, 2, 2, 18, 20, 2, 18, 2, 18",15754,1392,13949,16450,0
"4, 20, 4, 20, 20, 20, 4, 4, 4",15695,1510,13890,16450,0
"18, 4, 18, 4, 18, 4, 18, 4, 12",16028,842,14225,16449,0
"1, 1, 21, 12, 1, 21, 1, 21, 21",15632,1634,13829,16449,0
"19, 18, 4, 3, 20, 4, 14, 2, 16",15898,1101,14096,16448.5,0
"16, 16, 16, 5, 16, 10, 3, 2, 16",15839,1219,14037,16448.5,0
"4, 15, 12, 15, 6, 15, 10, 15, 8",15766,1364,13965,16448,0
"3, 20, 3, 25, 3, 20, 20, 3, 3",15732,1426,13937,16445,0
"15, 15, 15, 5, 10, 15, 5, 5, 15",15714,1462,13919,16445,0
"1, 1, 14, 19, 1, 2, 20, 21, 21",15657,1575,13863,16444.5,0
"4, 23, 0, 21, 2, 21, 4, 4, 21",15989,906,14200,16442,0
"21, 1, 21, 1, 21, 1, 12, 1, 21",15643,1596,13856,16441,0
"2, 18, 2, 1, 20, 1, 18, 20, 18",15587,1704,13804,16439,0
"1, 5, 20, 20, 4, 20, 20, 5, 5",15532,1814,13749,16439,0
"2, 2, 2, 18, 18, 18, 19, 2, 19",15835,1204,14056,16437,0
"18, 2, 18, 2, 18, 2, 18, 4, 18",15960,950,14185,16435,0
"3, 3, 3, 20, 20, 20, 20, 8, 3",15566,1726,13803,16429,0
"2, 18, 17, 17, 16, 12, 10, 5, 3",15709,1438,13948,16428,0
"0, 0, 17, 0, 17, 16, 17, 16, 17",15780,1294,14021,16427,0
"0, 14, 15, 15, 15, 15, 15, 10, 1",15506,1841,13748,16426.5,0
"12, 14, 10, 14, 12, 14, 8, 3, 13",15679,1492,13924,16425,0
"13, 8, 13, 12, 8, 12, 13, 8, 13",15860,1130,14105,16425,0
"21, 21, 3, 3, 4, 3, 3, 21, 21",15976,894,14225,16423,0
"0, 12, 12, 17, 21, 16, 0, 11, 11",15287,2272,13536,16423,0
"18, 2, 18, 3, 18, 3, 18, 2, 18",15924,996,14175,16422,0
"18, 2, 18, 3, 18, 3, 18, 2, 18",15924,996,14175,16422,0
"18, 2, 18, 3, 18, 3, 18, 2, 18",15924,996,14175,16422,0
"4, 20, 4, 22, 4, 2, 4, 20, 20",15822,1198,14075,16421,0
"21, 3, 3, 3, 22, 3, 3, 21, 21",15995,849,14251,16419.5,0
"2, 2, 2, 2, 22, 22, 22, 4, 22",15942,953,14200,16418.5,0
"2, 2, 2, 2, 22, 22, 22, 4, 22",15942,953,14200,16418.5,0
"2, 2, 18, 18, 19, 2, 2, 18, 19",15829,1178,14088,16418,0
"1, 11, 12, 18, 16, 21, 14, 6, 1",15484,1867,13744,16417.5,0
"20, 2, 20, 2, 12, 2, 20, 2, 20",15343,2146,13606,16416,0
"20, 2, 20, 2, 12, 2, 20, 2, 20",15343,2146,13606,16416,0
"20, 2, 20, 2, 12, 2, 20, 2, 20",15343,2146,13606,16416,0
"1, 21, 21, 12, 1, 21, 1, 21, 1",15546,1738,13811,16415,0
"1, 20, 1, 20, 1, 20, 20, 1, 16",15349,2130,13616,16414,0
"0, 0, 0, 17, 17, 17, 16, 17, 16",15798,1230,14067,16413,0
"18, 2, 18, 2, 18, 2, 18, 2, 20",15775,1273,14047,16411.5,0
"22, 2, 22, 2, 22, 2, 22, 2, 4",15971,881,14243,16411.5,0
"18, 2, 18, 2, 18, 2, 18, 2, 20",15775,1273,14047,16411.5,0
"17, 16, 0, 16, 18, 16, 0, 0, 17",15809,1204,14082,16411,0
"16, 6, 16, 6, 12, 6, 16, 6, 16",15952,917,14226,16410.5,0
"2, 21, 21, 2, 21, 21, 8, 2, 2",15746,1328,14021,16410,0
"2, 18, 2, 18, 19, 18, 2, 19, 2",15802,1215,14078,16409.5,0
"0, 0, 0, 16, 16, 17, 17, 17, 17",15765,1288,14042,16409,0
"12, 20, 3, 20, 19, 2, 3, 2, 19",15682,1453,13960,16408.5,0
"3, 21, 11, 14, 11, 3, 3, 14, 20",15428,1960,13707,16408,0
"6, 15, 6, 15, 25, 15, 1, 15, 2",15767,1281,14047,16407.5,0
"0, 17, 16, 0, 17, 17, 17, 16, 0",15798,1219,14078,16407.5,0
"16, 16, 16, 16, 16, 20, 0, 0, 0",15695,1424,13976,16407,0
"21, 20, 4, 3, 21, 3, 3, 21, 4",15882,1048,14165,16406,0
"11, 12, 11, 7, 12, 12, 12, 12, 11",14921,2961,13213,16401.5,0
"11, 2, 11, 2, 20, 2, 20, 12, 20",15008,2787,13300,16401.5,0
"18, 18, 2, 2, 20, 2, 2, 18, 18",15758,1285,14052,16400.5,0
"20, 20, 20, 20, 1, 1, 15, 2, 1",15344,2112,13639,16400,0
"5, 20, 0, 20, 5, 20, 20, 5, 5",15567,1665,13863,16399.5,0
"20, 2, 18, 2, 18, 2, 18, 2, 18",15765,1268,14062,16399,0
"0, 0, 0, 17, 16, 16, 17, 17, 17",15749,1300,14046,16399,0
"1, 21, 1, 21, 20, 21, 1, 13, 1",15424,1950,13721,16399,0
"0, 0, 0, 15, 20, 15, 20, 15, 15",15361,2075,13659,16398.5,0
"0, 23, 15, 18, 0, 14, 0, 15, 15",15695,1405,13995,16397.5,0
"18, 23, 1, 2, 3, 18, 1, 17, 17",15908,979,14208,16397.5,0
"22, 22, 22, 22, 3, 2, 3, 2, 2",15930,930,14235,16395,0
"21, 21, 1, 1, 21, 1, 12, 1, 21",15614,1561,13920,16394.5,0
"2, 2, 20, 21, 20, 11, 2, 20, 2",15169,2450,13476,16394,0
"15, 12, 19, 1, 21, 1, 20, 1, 10",15456,1876,13763,16394,0
"13, 11, 0, 14, 19, 12, 5, 5, 21",15574,1639,13882,16393.5,0
"16, 16, 5, 17, 1, 1, 10, 16, 18",15772,1242,14081,16393,0
"20, 15, 3, 17, 16, 7, 1, 18, 3",15809,1168,14118,16393,0
"0, 16, 0, 17, 17, 16, 17, 17, 0",15765,1254,14076,16392,0
"6, 10, 12, 19, 16, 12, 16, 6, 3",15711,1353,14031,16387.5,0
"20, 10, 16, 2, 8, 13, 13, 14, 4",15722,1329,14044,16386.5,0
"0, 17, 17, 17, 16, 0, 17, 0, 16",15758,1256,14081,16386,0
"1, 20, 1, 20, 1, 16, 20, 1, 20",15283,2206,13606,16386,0
"20, 20, 20, 20, 4, 4, 4, 4, 4",15685,1398,14012,16384,0
"20, 20, 20, 20, 4, 4, 4, 4, 4",15685,1398,14012,16384,0
"11, 13, 10, 14, 13, 15, 14, 2, 8",15573,1618,13904,16382,0
"2, 21, 2, 21, 2, 21, 8, 21, 2",15706,1351,14038,16381.5,0
"4, 5, 3, 3, 19, 20, 21, 19, 6",15914,933,14248,16380.5,0
"0, 15, 15, 15, 15, 15, 5, 20, 0",15513,1733,13849,16379.5,0
"2, 2, 2, 22, 22, 3, 3, 22, 22",15871,1008,14216,16375,0
"20, 12, 0, 16, 20, 0, 0, 12, 20",15303,2142,13650,16374,0
"12, 12, 12, 12, 12, 25, 7, 5, 3",15554,1639,13902,16373.5,0
"0, 0, 15, 0, 17, 17, 17, 17, 17",15712,1322,14061,16373,0
"16, 1, 1, 20, 1, 20, 20, 20, 1",15358,2028,13709,16372,0
"22, 6, 2, 22, 1, 16, 22, 6, 3",15972,800,14323,16372,0
"11, 21, 16, 10, 5, 16, 15, 4, 2",15492,1758,13845,16371,0
"20, 16, 20, 20, 1, 1, 1, 1, 20",15327,2088,13680,16371,0
"2, 22, 2, 19, 2, 19, 11, 21, 2",15502,1736,13857,16370,0
"22, 22, 22, 22, 3, 3, 2, 2, 2",15897,945,14253,16369.5,0
"1, 19, 18, 19, 1, 1, 18, 2, 21",15682,1374,14039,16369,0
"22, 22, 2, 2, 22, 2, 22, 3, 3",15946,845,14304,16368.5,0
"11, 16, 11, 16, 10, 16, 2, 16, 2",15264,2207,13624,16367.5,0
"20, 20, 18, 22, 12, 2, 2, 2, 2",15474,1782,13839,16365,0
"0, 17, 17, 16, 17, 0, 16, 0, 17",15743,1244,14108,16365,0
"5, 20, 5, 20, 1, 20, 5, 20, 4",15562,1603,13930,16363.5,0
"0, 15, 21, 16, 0, 13, 10, 14, 11",15405,1916,13774,16363,0
"15, 0, 17, 0, 18, 16, 16, 18, 0",15711,1304,14080,16363,0
"12, 1, 13, 13, 26, 21, 1, 12, 1",15530,1664,13901,16362,0
"0, 0, 0, 20, 18, 17, 16, 15, 14",15621,1479,13995,16360.5,0
"0, 17, 17, 16, 17, 0, 16, 17, 0",15747,1226,14122,16360,0
"21, 0, 21, 2, 21, 0, 2, 21, 12",15640,1439,14016,16359.5,0
"1, 20, 15, 20, 2, 1, 1, 20, 20",15268,2182,13645,16359,0
"1, 20, 16, 20, 1, 20, 20, 1, 1",15232,2249,13614,16356.5,0
"7, 6, 7, 13, 13, 13, 13, 21, 7",15972,764,14359,16354,0
"21, 21, 1, 1, 21, 21, 12, 1, 1",15517,1674,13904,16354,0
"17, 21, 1, 18, 2, 1, 19, 20, 1",15613,1479,14003,16352.5,0
"21, 1, 17, 1, 20, 1, 21, 1, 17",15507,1691,13897,16352.5,0
"12, 21, 15, 0, 0, 0, 19, 22, 11",15462,1780,13853,16352,0
"1, 7, 15, 7, 1, 17, 15, 17, 20",15660,1379,14056,16349.5,0
"5, 7, 18, 18, 4, 18, 18, 7, 5",16017,665,14413,16349.5,0
"12, 11, 11, 14, 4, 15, 17, 6, 10",15275,2148,13672,16349,0
"0, 0, 0, 14, 16, 20, 20, 15, 15",15462,1772,13861,16348,0
"20, 2, 4, 3, 19, 1, 16, 17, 18",15741,1206,14148,16344,0
"20, 4, 20, 4, 20, 4, 20, 4, 4",15565,1557,13973,16343.5,0
"19, 19, 13, 13, 17, 16, 1, 1, 1",15623,1441,14031,16343.5,0
"17, 16, 17, 17, 16, 17, 0, 0, 0",15764,1156,14175,16342,0
"19, 2, 19, 2, 19, 2, 19, 2, 16",15778,1123,14194,16339.5,0
"11, 2, 20, 2, 21, 11, 20, 11, 2",14926,2825,13344,16338.5,0
"2, 2, 23, 23, 2, 2, 21, 23, 2",15729,1216,14150,16337,0
"0, 0, 21, 12, 21, 2, 21, 21, 2",15546,1581,13968,16336.5,0
"1, 21, 1, 20, 12, 21, 1, 11, 12",15101,2469,13525,16335.5,0
"1, 15, 15, 20, 20, 15, 10, 2, 2",15202,2263,13630,16333.5,0
"2, 19, 19, 1, 1, 1, 19, 19, 19",15672,1318,14105,16331,0
"18, 0, 12, 17, 0, 17, 0, 18, 18",15715,1230,14150,16330,0
"1, 1, 13, 20, 1, 21, 20, 22, 1",15374,1911,13810,16329.5,0
"7, 21, 3, 1, 5, 20, 19, 18, 6",15827,1005,14263,16329.5,0
"1, 21, 21, 1, 21, 1, 11, 21, 2",15314,2030,13751,16329,0
"18, 18, 4, 4, 18, 12, 4, 18, 4",15924,808,14363,16328,0
"1, 21, 2, 21, 0, 21, 11, 21, 2",15324,2001,13770,16324.5,0
"1, 20, 1, 20, 1, 20, 16, 20, 1",15262,2124,13709,16324,0
"16, 1, 20, 1, 20, 1, 20, 1, 20",15197,2253,13645,16323.5,0
"16, 1, 20, 1, 20, 1, 20, 1, 20",15197,2253,13645,16323.5,0
"1, 1, 1, 20, 20, 15, 20, 2, 20",15144,2357,13594,16322.5,0
"1, 9, 16, 16, 17, 16, 13, 11, 1",15412,1820,13863,16322,0
"3, 19, 18, 19, 3, 20, 7, 6, 5",15841,960,14294,16321,0
"2, 2, 2, 2, 20, 20, 11, 21, 20",15143,2355,13597,16320.5,0
"19, 2, 18, 2, 19, 18, 2, 18, 2",15740,1161,14194,16320.5,0
"1, 19, 14, 11, 15, 11, 14, 1, 14",15219,2200,13676,16319,0
"5, 20, 5, 5, 5, 15, 20, 5, 20",15551,1527,14017,16314.5,0
"1, 2, 1, 11, 21, 21, 20, 21, 2",15243,2143,13709,16314.5,0
"20, 1, 1, 20, 1, 20, 1, 16, 20",15295,2038,13762,16314,0
"2, 2, 2, 23, 2, 23, 22, 22, 2",15722,1184,14189,16314,0
"1, 1, 1, 21, 12, 21, 21, 1, 21",15382,1861,13852,16312.5,0
"11, 15, 11, 17, 1, 11, 11, 12, 11",14647,3325,13123,16309.5,0
"1, 8, 9, 12, 13, 13, 14, 15, 15",15638,1343,14114,16309.5,0
"2, 21, 8, 21, 2, 21, 2, 21, 2",15633,1352,14110,16309,0
"18, 0, 21, 2, 18, 2, 18, 3, 18",15765,1083,14247,16306.5,0
"3, 3, 3, 3, 3, 25, 20, 20, 20",15618,1375,14102,16305.5,0
"4, 20, 4, 20, 20, 4, 4, 4, 20",15555,1498,14042,16304,0
"17, 17, 17, 16, 17, 16, 0, 0, 0",15711,1186,14198,16304,0
"20, 1, 20, 20, 1, 16, 1, 1, 20",15226,2153,13716,16302.5,0
"10, 11, 15, 12, 0, 11, 15, 11, 15",14860,2884,13351,16302,0
"1, 8, 14, 16, 24, 15, 15, 5, 2",15624,1355,14116,16301.5,0
"10, 5, 18, 22, 21, 0, 3, 16, 5",15718,1163,14214,16299.5,0
"20, 20, 2, 19, 19, 2, 2, 2, 14",15573,1452,14070,16299,0
"21, 1, 21, 1, 12, 1, 21, 1, 21",15446,1706,13943,16299,0
"21, 1, 21, 1, 12, 1, 21, 1, 21",15446,1706,13943,16299,0
"6, 11, 3, 12, 17, 11, 19, 3, 18",15376,1844,13875,16298,0
"1, 1, 1, 1, 20, 20, 20, 20, 16",15176,2241,13678,16296.5,0
"1, 1, 1, 1, 20, 20, 20, 20, 16",15176,2241,13678,16296.5,0
"0, 0, 0, 15, 17, 16, 17, 19, 16",15595,1398,14102,16294,0
"1, 1, 1, 1, 12, 21, 21, 21, 21",15414,1754,13927,16291,0
"0, 0, 25, 15, 0, 15, 15, 15, 15",15479,1623,13993,16290.5,0
"2, 2, 2, 8, 21, 2, 21, 21, 21",15693,1194,14208,16290,0
"3, 6, 9, 12, 15, 18, 19, 16, 2",15710,1160,14225,16290,0
"1, 20, 16, 20, 1, 20, 1, 20, 1",15212,2156,13727,16290,0
"21, 21, 12, 21, 21, 1, 1, 1, 1",15427,1716,13952,16285,0
"22, 2, 22, 2, 2, 4, 22, 2, 22",15862,846,14387,16285,0
"16, 13, 8, 7, 21, 18, 12, 1, 4",15756,1056,14283,16284,0
"5, 19, 5, 5, 5, 19, 21, 3, 18",15834,899,14362,16283.5,0
"15, 15, 15, 13, 14, 10, 7, 6, 5",15667,1232,14196,16283,0
"2, 2, 22, 12, 12, 23, 2, 23, 2",15473,1618,14004,16282,0
"4, 15, 24, 0, 23, 1, 17, 0, 16",15707,1148,14240,16281,0
"8, 13, 13, 8, 8, 16, 5, 13, 16",15865,831,14399,16280.5,0
"1, 4, 5, 5, 2, 21, 20, 21, 21",15611,1338,14146,16280,0
"20, 1, 16, 20, 1, 1, 1, 20, 20",15253,2052,13790,16279,0
"0, 0, 19, 16, 16, 16, 16, 17, 0",15571,1415,14109,16278.5,0
"5, 15, 5, 20, 5, 25, 5, 15, 5",15712,1128,14255,16276,0
"20, 18, 1, 19, 1, 1, 21, 1, 18",15532,1488,14075,16276,0
"0, 22, 22, 22, 22, 3, 3, 3, 3",15802,946,14347,16275,0
"0, 0, 0, 15, 16, 17, 18, 19, 15",15558,1427,14110,16271.5,0
"3, 3, 3, 22, 22, 15, 3, 26, 3",15831,880,14384,16271,0
"1, 2, 2, 6, 23, 21, 21, 21, 3",15674,1194,14227,16271,0
"18, 17, 17, 16, 16, 16, 0, 0, 0",15654,1233,14208,16270.5,0
"20, 15, 20, 20, 20, 1, 2, 1, 1",15095,2347,13653,16268.5,0
"21, 11, 21, 21, 21, 2, 1, 1, 1",15289,1958,13848,16268,0
"2, 20, 20, 2, 20, 3, 20, 10, 3",15210,2113,13772,16266.5,0
"21, 1, 12, 21, 21, 1, 1, 21, 1",15432,1668,13995,16266,0
"0, 0, 0, 14, 17, 17, 17, 17, 18",15654,1224,14217,16266,0
"12, 12, 12, 12, 12, 12, 9, 11, 8",15168,2196,13731,16266,0
"6, 9, 11, 3, 2, 13, 21, 16, 19",15587,1357,14151,16265.5,0
"18, 1, 19, 2, 1, 18, 1, 18, 22",15697,1134,14264,16264,0
"13, 3, 26, 2, 2, 2, 26, 13, 13",15805,918,14372,16264,0
"2, 2, 20, 20, 20, 20, 3, 3, 10",15163,2195,13737,16260.5,0
"7, 4, 23, 2, 11, 17, 12, 3, 21",15659,1203,14233,16260.5,0
"5, 20, 5, 20, 0, 20, 5, 20, 5",15441,1637,14017,16259.5,0
"15, 0, 11, 16, 15, 16, 11, 16, 0",15105,2305,13685,16257.5,0
"15, 15, 15, 15, 0, 10, 10, 15, 5",15347,1819,13929,16256.5,0
"12, 10, 5, 10, 12, 13, 12, 14, 12",15208,2097,13790,16256.5,0
"0, 0, 18, 0, 18, 17, 18, 12, 17",15565,1381,14149,16255.5,0
"17, 11, 11, 17, 17, 1, 1, 11, 14",15038,2429,13628,16252.5,0
"20, 12, 15, 5, 2, 9, 15, 7, 15",15572,1357,14166,16250.5,0
"21, 9, 6, 16, 17, 2, 3, 12, 14",15768,963,14364,16249.5,0
"2, 2, 20, 12, 0, 17, 2, 25, 20",15366,1767,13962,16249.5,0
"19, 15, 11, 4, 2, 4, 11, 15, 19",15297,1903,13895,16248.5,0
"11, 11, 11, 19, 21, 21, 2, 2, 2",14952,2593,13550,16248.5,0
