"strategy","wins","draws","losses","score","points"
"13, 13, 13, 5, 13, 13, 13, 4, 13",16982,1064,13049,17514,9
"12, 12, 2, 12, 12, 12, 12, 13, 13",16516,1995,12584,17513.5,9
"3, 12, 12, 12, 12, 12, 12, 12, 13",16458,2108,12529,17512,9
"3, 12, 12, 12, 12, 12, 12, 12, 13",16458,2108,12529,17512,9
"2, 2, 14, 14, 14, 14, 14, 13, 13",16925,1172,12998,17511,9
"14, 14, 1, 14, 1, 14, 14, 14, 14",17022,976,13097,17510,9
"2, 15, 12, 15, 1, 16, 12, 15, 12",16584,1850,12661,17509,9
"3, 3, 15, 15, 3, 15, 15, 16, 15",16826,1362,12907,17507,9
"12, 13, 12, 13, 12, 1, 12, 13, 12",16528,1955,12612,17505.5,9
"3, 12, 12, 12, 12, 12, 12, 13, 12",16439,2121,12535,17499.5,9
"13, 12, 12, 12, 13, 12, 2, 12, 12",16557,1878,12660,17496,9
"13, 13, 13, 1, 12, 12, 12, 12, 12",16486,2012,12597,17492,9
"14, 14, 2, 13, 13, 14, 14, 14, 2",16954,1069,13072,17488.5,9
"13, 14, 14, 14, 14, 13, 13, 3, 2",16908,1160,13027,17488,9
"2, 12, 12, 12, 12, 12, 13, 13, 12",16425,2123,12547,17486.5,9
"14, 14, 14, 14, 0, 2, 14, 14, 14",17003,966,13126,17486,9
"2, 16, 16, 16, 2, 15, 16, 15, 2",16759,1447,12889,17482.5,9
"2, 15, 16, 15, 2, 16, 16, 16, 2",16724,1511,12860,17479.5,9
"2, 16, 15, 16, 2, 16, 15, 16, 2",16726,1504,12865,17478,9
"2, 16, 15, 16, 2, 16, 15, 16, 2",16726,1504,12865,17478,9
"13, 13, 13, 22, 0, 0, 13, 13, 13",16880,1193,13022,17476.5,8
"12, 13, 12, 13, 13, 13, 0, 12, 12",16632,1688,12775,17476,8
"12, 12, 12, 12, 0, 12, 12, 12, 16",16467,2014,12614,17474,8
"12, 12, 12, 12, 0, 12, 12, 12, 16",16467,2014,12614,17474,8
"2, 15, 2, 16, 2, 16, 16, 16, 15",16777,1394,12924,17474,8
"13, 2, 14, 14, 14, 2, 13, 14, 14",16948,1044,13103,17470,8
"3, 15, 3, 15, 4, 15, 15, 15, 15",16804,1328,12963,17468,8
"2, 15, 16, 16, 2, 16, 16, 2, 15",16761,1414,12920,17468,8
"15, 15, 16, 3, 3, 15, 15, 15, 3",16823,1288,12984,17467,8
"2, 2, 13, 14, 14, 14, 13, 14, 14",16867,1188,13040,17461,8
"6, 1, 13, 15, 13, 13, 13, 13, 13",16834,1252,13009,17460,8
"2, 14, 14, 14, 14, 14, 14, 12, 2",16792,1332,12971,17458,8
"2, 14, 14, 14, 14, 14, 14, 12, 2",16792,1332,12971,17458,8
"2, 14, 14, 14, 14, 14, 14, 12, 2",16792,1332,12971,17458,8
"3, 14, 14, 14, 21, 14, 14, 3, 3",16943,1026,13126,17456,8
"2, 16, 16, 15, 2, 15, 16, 16, 2",16720,1470,12905,17455,8
"1, 12, 12, 13, 13, 13, 12, 12, 12",16484,1940,12671,17454,8
"3, 15, 4, 15, 3, 15, 15, 15, 15",16798,1308,12989,17452,8
"13, 13, 13, 13, 12, 0, 12, 12, 12",16519,1864,12712,17451,8
"13, 13, 13, 12, 0, 13, 11, 13, 12",16487,1928,12680,17451,8
"1, 12, 12, 12, 13, 13, 12, 13, 12",16492,1915,12688,17449.5,8
"12, 13, 12, 12, 12, 13, 1, 12, 13",16473,1952,12670,17449,8
"12, 13, 13, 12, 12, 12, 12, 12, 2",16367,2161,12567,17447.5,8
"1, 12, 12, 12, 13, 12, 13, 12, 13",16490,1913,12692,17446.5,8
"12, 1, 13, 12, 13, 12, 13, 12, 12",16481,1922,12692,17442,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"4, 12, 12, 12, 12, 12, 12, 12, 12",16335,2199,12561,17434.5,8
"13, 13, 12, 12, 12, 12, 12, 12, 2",16379,2107,12609,17432.5,8
"1, 14, 14, 14, 1, 14, 14, 14, 14",16850,1163,13082,17431.5,8
"13, 13, 12, 12, 13, 12, 0, 13, 12",16601,1656,12838,17429,8
"12, 12, 13, 13, 13, 12, 12, 12, 1",16469,1916,12710,17427,8
"15, 15, 3, 15, 3, 15, 15, 15, 4",16763,1326,13006,17426,8
"15, 15, 15, 15, 3, 15, 15, 3, 4",16718,1414,12963,17425,8
"2, 12, 16, 12, 16, 16, 12, 12, 2",16498,1851,12746,17423.5,8
"13, 13, 13, 17, 4, 17, 3, 17, 3",16947,950,13198,17422,8
"12, 13, 12, 13, 13, 12, 12, 12, 1",16469,1899,12727,17418.5,8
"12, 12, 13, 13, 12, 13, 0, 13, 12",16499,1833,12763,17415.5,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"12, 12, 12, 12, 12, 12, 12, 12, 4",16323,2182,12590,17414,8
"14, 14, 14, 14, 1, 14, 14, 1, 14",16877,1065,13153,17409.5,8
"13, 12, 13, 12, 13, 12, 12, 12, 1",16456,1905,12734,17408.5,8
"1, 13, 13, 15, 1, 15, 12, 15, 15",16542,1727,12826,17405.5,8
"2, 2, 2, 17, 21, 17, 13, 13, 13",16772,1262,13061,17403,8
"14, 14, 14, 14, 14, 13, 13, 2, 2",16829,1145,13121,17401.5,8
"13, 14, 13, 14, 14, 14, 2, 2, 14",16880,1042,13173,17401,8
"12, 12, 12, 12, 12, 13, 13, 13, 1",16392,2004,12699,17394,8
"12, 12, 12, 12, 12, 13, 13, 13, 1",16392,2004,12699,17394,8
"12, 12, 12, 12, 12, 13, 13, 13, 1",16392,2004,12699,17394,8
