"strategy"wins","draws","losses","score","points","
"5, 4, 20, 20, 3, 20, 20, 4, 4",6797,507,4792,7050.5,7
"18, 18, 2, 18, 3, 18, 2, 19, 2",6828,443,4825,7049.5,7
"16, 17, 17, 0, 17, 0, 0, 17, 16",6772,554,4770,7049,7
"8, 17, 6, 17, 6, 17, 6, 17, 6",6864,351,4881,7039.5,7
"5, 17, 5, 2, 17, 3, 17, 17, 17",6792,493,4811,7038.5,7
"16, 16, 16, 0, 3, 1, 16, 16, 16",6576,924,4596,7038,7
"3, 18, 18, 18, 1, 3, 18, 3, 18",6752,570,4774,7037,7
"18, 2, 18, 3, 3, 18, 2, 18, 18",6803,442,4851,7024,7
"3, 3, 21, 17, 16, 17, 17, 3, 3",6684,677,4735,7022.5,7
"19, 1, 1, 1, 5, 19, 18, 18, 18",6805,434,4857,7022,7
"2, 18, 3, 18, 2, 18, 2, 18, 19",6777,486,4833,7020,7
"17, 5, 17, 5, 2, 17, 17, 17, 3",6703,632,4761,7019,7
"7, 16, 3, 16, 8, 16, 15, 16, 3",6577,880,4639,7017,7
"17, 4, 17, 5, 3, 17, 17, 3, 17",6723,585,4788,7015.5,7
"4, 20, 4, 20, 4, 20, 4, 20, 4",6778,469,4849,7012.5,7
"6, 16, 15, 16, 6, 15, 16, 5, 5",6547,928,4621,7011,7
"4, 18, 4, 18, 2, 18, 14, 18, 4",6685,639,4772,7004.5,7
"3, 3, 21, 3, 5, 21, 20, 20, 4",6742,524,4830,7004,7
"16, 5, 16, 16, 5, 16, 5, 16, 5",6603,790,4703,6998,7
"2, 18, 3, 18, 18, 18, 2, 18, 3",6764,468,4864,6998,7
"16, 17, 0, 17, 17, 17, 0, 16, 0",6699,596,4801,6997,7
"17, 0, 0, 17, 15, 17, 0, 17, 17",6715,563,4818,6996.5,7
"2, 2, 2, 18, 2, 18, 18, 19, 19",6748,494,4854,6995,7
"0, 17, 17, 0, 17, 17, 0, 16, 16",6673,640,4783,6993,7
"16, 16, 1, 16, 2, 16, 1, 16, 16",6533,912,4651,6989,7
"17, 0, 17, 17, 15, 17, 0, 0, 17",6701,569,4826,6985.5,7
"17, 17, 17, 17, 16, 16, 0, 0, 0",6667,631,4798,6982.5,7
"3, 4, 17, 4, 17, 4, 17, 17, 17",6699,563,4834,6980.5,7
"1, 17, 1, 17, 12, 17, 1, 17, 17",6675,607,4814,6978.5,7
"5, 19, 5, 5, 5, 19, 21, 3, 18",6788,379,4929,6977.5,7
"16, 16, 16, 1, 2, 1, 16, 16, 16",6520,915,4661,6977.5,7
"17, 16, 0, 0, 17, 16, 0, 17, 17",6650,654,4792,6977,7
"5, 5, 16, 16, 16, 16, 16, 5, 5",6584,785,4727,6976.5,7
"1, 16, 17, 0, 0, 17, 16, 17, 16",6564,825,4707,6976.5,7
"4, 16, 16, 16, 0, 16, 16, 16, 0",6466,1020,4610,6976,7
"15, 17, 16, 6, 6, 16, 2, 16, 6",6635,680,4781,6975,7
"17, 0, 17, 0, 15, 17, 17, 17, 0",6656,625,4815,6968.5,7
"4, 16, 4, 17, 18, 4, 17, 4, 16",6673,583,4840,6964.5,6
"17, 17, 17, 17, 17, 4, 3, 4, 4",6717,494,4885,6964,6
"17, 16, 17, 0, 0, 0, 17, 16, 17",6611,698,4787,6960,6
"17, 0, 18, 16, 15, 0, 0, 17, 17",6669,581,4846,6959.5,6
"1, 16, 16, 16, 2, 16, 16, 1, 16",6434,1051,4611,6959.5,6
"17, 4, 17, 17, 17, 3, 17, 4, 4",6692,534,4870,6959,6
"13, 16, 16, 0, 7, 16, 0, 16, 16",6545,826,4725,6958,6
"17, 5, 17, 17, 2, 17, 3, 5, 17",6673,564,4859,6955,6
"16, 16, 1, 17, 1, 16, 1, 16, 16",6505,900,4691,6955,6
"5, 16, 5, 16, 16, 16, 5, 16, 5",6570,768,4758,6954,6
"5, 16, 5, 16, 16, 16, 5, 16, 5",6570,768,4758,6954,6
"5, 16, 5, 16, 16, 16, 5, 16, 5",6570,768,4758,6954,6
"5, 16, 5, 16, 16, 16, 5, 16, 5",6570,768,4758,6954,6
"2, 16, 1, 16, 1, 16, 16, 16, 16",6426,1055,4615,6953.5,6
"1, 16, 16, 16, 2, 16, 16, 16, 1",6389,1128,4579,6953,6
"1, 16, 16, 16, 2, 16, 16, 16, 1",6389,1128,4579,6953,6
"17, 17, 4, 3, 17, 17, 4, 17, 4",6694,513,4889,6950.5,6
"5, 16, 16, 5, 16, 5, 16, 16, 5",6566,767,4763,6949.5,6
"17, 17, 16, 0, 0, 0, 17, 16, 17",6614,670,4812,6949,6
"3, 20, 4, 16, 3, 17, 1, 21, 15",6592,714,4790,6949,6
"17, 0, 17, 17, 0, 16, 17, 0, 16",6609,675,4812,6946.5,6
"0, 0, 0, 17, 16, 17, 17, 16, 17",6623,645,4828,6945.5,6
"0, 17, 16, 16, 17, 17, 0, 17, 0",6596,699,4801,6945.5,6
"16, 16, 16, 16, 1, 16, 1, 17, 1",6447,996,4653,6945,6
"2, 3, 18, 18, 3, 3, 20, 15, 18",6612,662,4822,6943,6
"17, 16, 0, 17, 0, 16, 17, 17, 0",6570,739,4787,6939.5,6
"16, 16, 1, 1, 1, 16, 16, 17, 16",6488,902,4706,6939,6
"0, 16, 17, 17, 0, 17, 17, 16, 0",6536,781,4779,6926.5,6
"1, 16, 16, 16, 1, 17, 16, 16, 1",6377,1099,4620,6926.5,6
"20, 1, 17, 1, 3, 19, 19, 19, 1",6640,571,4885,6925.5,6
"1, 16, 16, 17, 1, 16, 16, 1, 16",6406,1039,4651,6925.5,6
"18, 17, 17, 16, 16, 16, 0, 0, 0",6604,643,4849,6925.5,6
"17, 17, 17, 17, 17, 4, 4, 4, 3",6666,513,4917,6922.5,6
"1, 16, 16, 16, 1, 16, 16, 17, 1",6365,1115,4616,6922.5,6
"0, 16, 16, 17, 0, 17, 17, 17, 0",6526,792,4778,6922,6
"1, 16, 16, 16, 1, 16, 17, 16, 1",6364,1116,4616,6922,6
"1, 16, 16, 16, 1, 16, 17, 16, 1",6364,1116,4616,6922,6
"4, 19, 17, 19, 19, 1, 1, 1, 19",6692,458,4946,6921,6
"2, 3, 16, 15, 6, 15, 18, 18, 7",6521,799,4776,6920.5,5
"1, 16, 16, 17, 1, 16, 16, 16, 1",6361,1116,4619,6919,5
"4, 18, 4, 22, 4, 23, 4, 17, 4",6700,433,4963,6916.5,5
"0, 17, 17, 17, 0, 16, 17, 16, 0",6537,758,4801,6916,5
"2, 2, 18, 18, 19, 2, 18, 19, 2",6696,438,4962,6915,5
"1, 16, 16, 16, 0, 17, 17, 16, 1",6424,977,4695,6912.5,5
"16, 16, 2, 16, 1, 16, 1, 16, 16",6445,934,4717,6912,5
"1, 16, 16, 16, 1, 16, 16, 16, 2",6344,1136,4616,6912,5
"1, 16, 16, 16, 1, 16, 16, 16, 2",6344,1136,4616,6912,5
"16, 16, 16, 17, 16, 16, 1, 1, 1",6475,874,4747,6912,5
"1, 16, 16, 16, 1, 16, 16, 16, 2",6344,1136,4616,6912,5
"16, 16, 16, 1, 1, 1, 16, 16, 17",6452,919,4725,6911.5,5
"0, 0, 0, 16, 17, 16, 17, 17, 17",6570,682,4844,6911,5
"16, 17, 16, 16, 16, 16, 1, 1, 1",6492,834,4770,6909,5
"0, 0, 16, 16, 0, 17, 17, 17, 17",6539,738,4819,6908,5
"17, 17, 0, 16, 0, 16, 0, 16, 18",6562,692,4842,6908,5
"16, 1, 16, 17, 1, 16, 16, 1, 16",6448,919,4729,6907.5,5
"17, 4, 16, 4, 17, 17, 4, 17, 4",6616,582,4898,6907,5
"16, 16, 16, 16, 16, 16, 1, 1, 2",6458,894,4744,6905,5
"17, 17, 17, 0, 0, 0, 17, 15, 17",6578,654,4864,6905,5
"4, 3, 21, 21, 3, 21, 21, 3, 3",6648,513,4935,6904.5,5
"18, 18, 2, 3, 18, 18, 2, 18, 3",6704,400,4992,6904,5
"2, 16, 16, 16, 16, 2, 1, 16, 15",6427,954,4715,6904,5
"16, 16, 16, 2, 1, 1, 16, 16, 16",6426,951,4719,6901.5,5
"1, 16, 16, 1, 17, 16, 1, 16, 16",6446,910,4740,6901,5
"1, 16, 1, 16, 16, 16, 16, 17, 1",6414,972,4710,6900,5
"16, 0, 15, 16, 6, 16, 16, 0, 15",6428,944,4724,6900,5
"1, 19, 1, 19, 2, 19, 19, 19, 1",6615,570,4911,6900,5
"0, 0, 16, 17, 17, 17, 17, 16, 0",6535,729,4832,6899.5,5
"16, 16, 1, 16, 16, 1, 16, 16, 2",6465,869,4762,6899.5,5
"17, 16, 16, 16, 1, 1, 16, 16, 1",6386,1026,4684,6899,5
"6, 21, 1, 21, 3, 21, 2, 21, 4",6700,398,4998,6899,5
"1, 16, 16, 16, 1, 2, 16, 16, 16",6373,1050,4673,6898,5
"17, 16, 1, 16, 1, 16, 16, 1, 16",6423,949,4724,6897.5,5
"15, 0, 17, 0, 16, 16, 0, 17, 19",6561,669,4866,6895.5,5
"16, 16, 1, 16, 16, 1, 2, 16, 16",6496,799,4801,6895.5,5
"4, 21, 1, 21, 6, 21, 3, 21, 2",6706,379,5011,6895.5,5
"16, 1, 16, 17, 16, 1, 16, 1, 16",6505,776,4815,6893,4
"2, 18, 2, 18, 21, 17, 2, 18, 2",6664,458,4974,6893,4
"1, 15, 16, 16, 3, 16, 16, 16, 1",6287,1212,4597,6893,4
"16, 1, 16, 17, 16, 1, 16, 1, 16",6505,776,4815,6893,4
"16, 16, 1, 1, 16, 16, 16, 16, 2",6454,877,4765,6892.5,4
"16, 16, 2, 1, 1, 16, 16, 16, 16",6424,937,4735,6892.5,4
"16, 1, 16, 16, 16, 16, 1, 16, 2",6453,878,4765,6892,4
"17, 15, 17, 17, 0, 17, 0, 17, 0",6514,755,4827,6891.5,4
"1, 16, 16, 2, 1, 16, 16, 16, 16",6354,1075,4667,6891.5,4
"4, 16, 15, 0, 4, 15, 16, 16, 14",6302,1178,4616,6891,4
"17, 16, 16, 1, 16, 16, 1, 16, 1",6442,896,4758,6890,4
"1, 16, 2, 16, 16, 16, 1, 16, 16",6430,915,4751,6887.5,4
"17, 16, 16, 16, 1, 16, 16, 1, 1",6361,1046,4689,6884,4
"2, 2, 18, 19, 18, 3, 2, 18, 18",6676,415,5005,6883.5,4
"17, 16, 16, 16, 16, 16, 1, 1, 1",6428,908,4760,6882,4
"17, 16, 16, 16, 16, 16, 1, 1, 1",6428,908,4760,6882,4
"16, 16, 16, 16, 17, 16, 1, 1, 1",6434,895,4767,6881.5,4
"16, 16, 16, 16, 17, 16, 1, 1, 1",6434,895,4767,6881.5,4
"16, 16, 16, 16, 1, 16, 16, 2, 1",6358,1047,4691,6881.5,4
"15, 16, 16, 2, 2, 2, 16, 16, 15",6386,991,4719,6881.5,4
"16, 1, 16, 16, 1, 2, 16, 16, 16",6415,930,4751,6880,4
"17, 0, 15, 17, 17, 0, 0, 17, 17",6549,661,4886,6879.5,4
"4, 16, 16, 0, 4, 15, 14, 16, 15",6300,1159,4637,6879.5,4
"2, 16, 1, 17, 1, 15, 17, 16, 15",6350,1058,4688,6879,4
"1, 2, 16, 16, 1, 16, 16, 16, 16",6348,1057,4691,6876.5,4
"16, 16, 1, 16, 17, 1, 16, 16, 1",6441,870,4785,6876,4
"1, 16, 17, 15, 1, 16, 16, 17, 1",6319,1113,4664,6875.5,4
"16, 16, 15, 1, 1, 1, 17, 17, 16",6408,929,4759,6872.5,4
"1, 19, 19, 19, 1, 19, 1, 19, 2",6593,559,4944,6872.5,4
"14, 5, 15, 16, 5, 17, 5, 18, 5",6496,748,4852,6870,4
"17, 16, 16, 16, 16, 1, 16, 1, 1",6418,903,4775,6869.5,4
"16, 2, 16, 16, 16, 16, 1, 1, 16",6462,815,4819,6869.5,4
"0, 16, 16, 18, 0, 16, 17, 17, 0",6460,818,4818,6869,4
"2, 16, 16, 16, 1, 15, 16, 16, 2",6284,1169,4643,6868.5,4
"16, 5, 5, 16, 5, 16, 5, 16, 16",6507,722,4867,6868,4
"0, 15, 17, 16, 4, 16, 17, 15, 0",6351,1027,4718,6864.5,4
"2, 18, 20, 2, 18, 2, 18, 2, 18",6643,441,5012,6863.5,4
"17, 1, 16, 16, 16, 1, 16, 1, 16",6458,810,4828,6863,3
"2, 16, 16, 15, 2, 16, 15, 16, 2",6267,1189,4640,6861.5,3
"4, 20, 20, 15, 4, 15, 15, 4, 3",6397,929,4770,6861.5,3
"2, 16, 16, 15, 2, 16, 16, 15, 2",6265,1190,4641,6860,3
"1, 1, 1, 16, 16, 16, 16, 16, 17",6410,896,4790,6858,3
"15, 16, 16, 2, 2, 16, 15, 16, 2",6325,1066,4705,6858,3
"2, 18, 2, 2, 18, 2, 19, 18, 19",6651,414,5031,6858,3
"7, 4, 5, 17, 6, 15, 16, 16, 14",6467,781,4848,6857.5,3
"2, 16, 16, 16, 16, 0, 3, 15, 16",6390,934,4772,6857,3
"16, 2, 16, 16, 16, 1, 16, 1, 16",6452,810,4834,6857,3
"1, 19, 1, 19, 2, 19, 19, 1, 19",6590,533,4973,6856.5,3
"16, 1, 16, 1, 17, 16, 16, 1, 16",6453,805,4838,6855.5,3
"15, 16, 16, 1, 16, 16, 16, 2, 2",6393,923,4780,6854.5,3
"2, 2, 2, 2, 18, 18, 18, 19, 19",6639,430,5027,6854,3
"1, 16, 2, 16, 16, 16, 16, 16, 1",6350,1007,4739,6853.5,3
"0, 1, 16, 16, 16, 16, 16, 16, 3",6364,978,4754,6853,3
"4, 20, 4, 21, 2, 21, 4, 20, 4",6624,454,5018,6851,3
"17, 4, 5, 17, 17, 17, 17, 4, 2",6597,507,4992,6850.5,3
